name,adress,zip,city,applicatie,beheer,netwerk,ecabo,activity,email,comment
Detailresult Services,Olieweg 6,1951NH,Velsen Noord,,,,TRUE,,ppieters@detailresult.nl,17/11 gemaild
Dude Square,Phoenixstraat 13,2011KC,Haarlem,,,,,Webdesign,,voicemail ingesproken 6/11/14
Gemeente Amsterdam IBA,Weesperstraat 430,1018DN,Amsterdam,,,,TRUE,,b.heimans@amsterdam.nl,
Hexaware,Kruisweg 825,2132NG,Hoofddorp,,,,,"SoftwarebedriJf, Testen",,Jacqueline van Dongen vm ingesproken 22/4/15
Janssen,Archimedesweg 4,233CN,Leiden,,,,TRUE,,cmons@its.JnJ.com,Chantal gemaild 17/11
Orange Line,Molenwerf 16,1911DB,Uitgeest,TRUE,,,,,rob@orangeline.nl,Rob gemaild 17/11
Cartridge Kingdom Inc.,98 Ashwarren road,M3J 2S6,Toronto,,,,,,,
Comentum,6222 Ferris Square,CA 92121,San Diego,,,,,,,
Dig-na Inc.,,,"Fukucka, Japan",,,,,,,
e-commerce partner BV,Startbaan 8,1185XR,Amstelveen,,,,TRUE,,,
Elres AVC,Keizerstraat 9,2011VS,Haarlem,,,,TRUE,,,
Enk Software,Molenwerf 32,,Uitgeest,,,,TRUE,AutomatiseringsbedriJf,kmartens@enk.nl,
Equitum Direct,Hendrik Figeeweg 1R,2031BJ,Haarlem,,,,TRUE,,,
Fedex Trade Networks Transport & Brokerage,Polaris Avenue 21,2132JH,Hoofddorp,,,,,,harry_seetz@ftn.fedex.com,0654 752 001
Filenetwerken,Pesetalaan 31,1060SC,Amsterdam,,,,TRUE,,,
Fioretti College Paulus,Gorgialaan 24,2182LA,Hillegom,,,,TRUE,school,,
Flinty's Jongerencentrum,Prinsenbolwerklaan 3,,Haarlem,,,,,,,06 484 31 002
Fotovak Engel,Heereweg 209,2161BE,Lisse,,,,,,dekock.fotovakengel@gmail.com,
Fysio Roadmaps Online,Waarderweg 33 Unit A11,,Haarlem,,,,,,,
Fysiotherapie de nieuwebrink,Liniewal 4,2141PA,ViJfhuizen,,,,,,fysioberendes@quicknet.nl,
GaragebedriJf Polder,Palletweg 19,2031,Haarlem,,,,,,,
Gemeente Bloemendaal,Bloemendaalseweg 158,2050AE,Overveen,,,,TRUE,Gemeentehuis,p.oud@bloemendaal.nl,
Gemeente Haarlem,ZiJlvest 39,2011VB,Haarlem,,,,TRUE,Gemeentehuis,dgtweeboom@haarlem.nl,
Gemeente Heemskerk,Bachstraat 6,1960AA,Heemskerk,,,,TRUE,Gemeentehuis,,
Gemeente Heemstede,Raadhuisplein 1,2101HA,Heemstede,,,,,Gemeentehuis,,
Gemeente Hillegom,Hoofdstraat 115,2180AA,Hillegom,,,,,Gemeentehuis,,
Gemeente Lisse,Heereweg 254,2160AE,Lisse,,,,TRUE,Gemeentehuis,dbrauckmann@lisse.nl,
Gemeente Velsen,Dudokplein 1,1971EN,IJmuiden,,,,TRUE,Gemeentehuis,rJaspers@velsen.nl,
Gemeentehuis Uitgeest,Middelweg 28,1911AA,Uitgeest,,,,,Gemeentehuis,,
Getronics Pinkroccade,Paalbergweg 1-3,1105AG,Amsterdam,,,,,AutomatiseringsbedriJf,,
Gibreto,Noppestraat 42,2136AJ,Zwaanshoek,,,,,,gideon@gibreto.nl,
GNR8 / StagebedriJf InHolland,ZiJlstraat 44,2011TN,Haarlem,,,,,StagebedriJf InHolland,info@gnr8.nl,
GroupActie Nederland B.V.,RiJksstraatweg 238,2022DJ,Haarlem,,,,,,marco.wessels@groupactie.nl,06 53 20 13 79
Hartman Computers (HCTbv),Cruquiuszoom 33,2142EW,Cruquius,,,,TRUE,Refurbishen/Verkoop Computers,,
HBR Adviescentrum,Korte Kleverlaan 34,,Bloemendaal,,,,TRUE,,,
Herke ICT group b.v.,ToermaliJnstraat 8,1812RL,Alkmaar,,,,,,p.beers@herke.nl,
Holland Casino,Hoofdweg 640,2132MK,Hoofddorp,,,,,Casino,,
Hostway,Schipholweg 275,1171PK,Badhoevedorp,,,,TRUE,Webhosting,,
ICCS bv,Kruisweg 823,2132NG,Hoofddorp,,,,TRUE,,Joep@iccs.nl,
Impli-Cit,Verspronckweg 243,2023BH,Haarlem,,,,,,,
Improve,Van den vondellaan 78,1985BD,Driehuis NH,,,,,,,
IMW,A. Verweylaan 138,2182PZ,Hillegom,,,,TRUE,,,
Infotechnology BV,Pastoorslaan 28,2182BX,Hillegom,,,,TRUE,,"Jbultink@infotechnology.nl
egroothuis@infotechnology.nl",
Instant publishing/G_advocaten,Nieuwe gracht 37,2011NC,Haarlem,,,,TRUE,Advocatenbureau,,
InterMac Automatisering,Watering weg 67,2031EK,Haarlem,,,,TRUE,AutomatiseringsbedriJf,,
IpCam-shop,Jacobus SpiJkerdreef 252,2132PZ,Hoofddorp,,,,TRUE,,,
Irdeto Access BV,Jupiterstraat 42,2132HD,Hoofddorp,,,,,,,
IS Interned Services,Wielingenstraat 8,1441ZR,Purmerend,,,,,,,
IT-chemi,Molenwerf 21C,1911DB,Uitgeest,,,,TRUE,,,
Italicdotcom,,,Amstelveen,,,,,,,
Joheco,Camplaan 6,2103GW,Hillegom,,,,,Computerwinkel,,
Jongbloed,Noordeinde 39,2514GC,Den Haag,,,,,Juridische boekhandel,,
Jozef school,Hoofdstraat 133,2182EN,Hillegom,,,,TRUE,school,,
Jp Huiskamp,,, ,,,,,,Jp.huiskamp@qubics.nl,
JPR Design,Van Lennepweg 153,2041LM,Zandvoort,,,,,,info@Jprdesign.nl,
Kapsalon Karlsma,Willemsbeekweg 62,1971GX,IJmuiden,,,,,,,
Kasbank Amsterdam,NZ Voorburgwal 225,1012RL,Amsterdam,,,,,,,
Kennemer College,Bullerlan 2,1945SR,BeverwiJk,,,,TRUE,school,r.kleiJne@kennemercollege.nl,
Kennemer Gasthuis,Boerhavelaan 22,2035RC,Haarlem,,,,TRUE,ziekenhuis,,
Kessler & Zn,Vermogenweg 209,3641ST,MiJdrecht,,,,,,info@kessler.nl,
Keul Solutions,Pieter Goedkoopweg 24,2031EL,Haarlem,,,,,,,
KLM/FiJutsu,Cateringweg 1,1118AM,Schiphol,,,,,,nico.vaessen@klm.com,
Komutan,Kultur Caddesi 5 A,,"Izmir, TurkiJe",,,,,,,
Korton Group,Jadelaan 99-101,2132XZ,Hoofddorp,,,,,,,
Kuehne & Nagel,Lireweg 7,2153PH,Nieuw-Vennep,,,,TRUE,Productie servers,,
L&N Media,Diakenhuisweg 29,2033AD,Haarlem,,,,,,laurens@sensoJ.com,
Ladyglossy,Crommelinbaan 50,2142EX,Cruquius,,,,TRUE,,rick@ladyglossy.nl,
Leaseweb B.V (zie ook Ocom),J van Lucasweg 35,2112XE,Haarlem,,,,TRUE,Webhosting,,HR manager = Barbara Jonkhout - geen lintstages
Lev Medische groothandel,Kennemerlaan 11-13,1972EG,IJmuiden,,,,,,,
Liberty Global,Boeingavenue 53,1119PE,Schiphol-RiJk,,,,,,,
Lionhead,Tingietersweg 6,2031ES,Haarlem,,,,,,,
Lockerbox BV,Lucas Bolsstraat 40,2152CZ,Nieuw-Vennep,,,,,,,
LogopediepraktiJk Haarlem-Zuid,Zuider Emmakade 45f,2012KN,Haarlem,,,,,,logopedie@haarlem-zuid.nl,
Loogman Tanken&Wassen BV,Aalsmeerderweg 497,1432ED,Aalsmeer,,,,,Tankstation,kiJzebaart@loogman.nl,
Lyceum Sancta Maria,van Limburg Stirumstraat 4,2012MN,Haarlem,,,,,School,,
Mackaay Computer Support BV,Boslaan 29,2132RJ,Hoofddorp,,,,TRUE,AutomatiseringsbedriJf,,
MAFF Managing partner Pand Noord,Meeuwenlaan 98-100,1021JL,Amsterdam-Noord,,,,TRUE,,,
Marmar KoleJi (College),Marmara Egitim Koya,34857,Istanbul Maltepe,,,,,,,0900 532 366 1010
MEOS,Kuppersweg 75,2031EB,Haarlem,,,,,Systeembeheer,,
Meyson Communicatie,Duivendrechtsekade 32,1096AJ,Amsterdam,,,,,,,
Microfix,Willem Barendsstraat 23,2315TZ,Leiden,,,,,,evk@microfix.nl,
National Aerospace Laboratory,,,Amsterdam,,,,,,,
NightOwl Interactive,"260 West, 35th Street, Suite 703",1001,New York,,,,TRUE,USA,,
Nikhef,Science Park 105,1098XG,Amsterdam,,,,,Subatomaire Fysica,tsuerink@nikhef.nl,
Noads,LagendiJk 11,2064KV,Spaarndam,,,,,,,
Northgo College,Duinwetering 107,2203HM,NoordwiJk,,,,,School,,
Ocom BV (zie ook Leaseweb),Mollerusweg 84,2031BZ,Haarlem,,,,TRUE,webhosting,,
OnePacket,Buitenom 259-261,2711KB,Zoetermeer,,,,,,info@onepacket.com,
Onsite,Tappersweg 14-32,2031CV,Haarlem,,,,,,,
Oyaloo,Jansstraat 46,2011RZ,Haarlem,,,,,marketing via mobiele tel,,06 242 01 015
Paerel,Herengracht 201,1016BE,Amsterdam,,,,TRUE,,,
Pagerank Eleven,Lorentzplein 25,2012HH,Haarlem,,,,,,,
PalletwiJs,BiJsterhuizen 1111,6546AR,NiJmegen,,,,,,ruud.suk@palletways.nl,
Parwan GSM,Ambachtsweg 84,3542DH,Utrecht,,,,,,parwangsm@gmail.com,
Paulus MAVO,Junoplantsoen 58,1991LG,Haarlem,,,,,,M.Hoogstoevenbeld@Paulusmavo.nl,0634 0056 770
PC Correct,Comeniusstraat 711,,Amsterdam,,,,,,,
Pcuserwinkel,RiJksstraatweg 519,2025DE,Haarlem,,,,,winkel,,
PEAK-IT,,,Amsterdam,,,,,SoftwarebedriJf,,
Perry Motors C.V.,Gedempte oude gracht 112,2011GW,Haarlem,,,,,,,
Pharmeon B.V.,Hettenheuvelweg 14,1101BN,Amsterdam-ZO,,,,TRUE,AutomatiseringsbedriJf,,
Philipoom,Van Meelstraat 20,1945WC,BeverwiJk,,,,,,,
Pine Bay Holiday Resort,Camlimani Mevkii 09400,,"Kusadasi, Aydin",,,,,,,
Professor van Gilseschool,Daslookweg 2,2015 KN,Haarlem,,,,,School,info@vangilseschool.nl,
ProJect Management Bureau,Weesperstraat 432,1018 DN,Amsterdam,,,,,,pmb@amsterdam.nl,
Propha ICT Solutions,Wateringweg 151,2031 EG,Haarlem,,,,TRUE,,,
PuurPro Webdesign,Lorenzkade 124,2014 CC,Haarlem,,,,,,,
Quickhelp,Surinameweg 2,2035VA,Haarlem,,,,,,info@quickhelp.nl,06 4300 1317
Quite-Easy,Ruishoornlaan 19,2161VW,Lisse,,,,TRUE,Appl ontw,,
Raad,Baden Powellweg 305K,1069LH,Amsterdam,,,,,,,020 691 2217
Raaks Supermarkten,Drossestraat 11,2011XW,Haarlem,,,,,,,
Randstad,Diemermere 25,1112TC,Diemen,,,,TRUE,Netwerken,,
RDRD,Lange Herenstraat 38 zwart,2011LJ,Haarlem,,,,,,info@rdrd.nl,06 55 120 446
"REA College, locatie Heliomare",Verlengde voorstraat 8,1949CM,WiJk aan Zee,,,,TRUE,school,http://rcnheliomare.nl/,
REAAL Verzekeringen NV,Wognumsebuurt 10,1817BH,Alkmaar,,,,,Verzekeringen,richard.schouten@reaal.nl,
RIBW,Stationsplein 110 en 118,2002CG,Haarlem,,,,,,helpdesk@ribw-kam.nl,06 31 025 520
Roads Print en Pixels,Ridderstraat 12 2W,2011 RS,Haarlem,,,,,,,
Salto,Tempelhofstraat 2-8,1043EC,Amsterdam,,,,,,,
Saturn,Oosterdokskade 61,,Amsterdam,,,,TRUE,,bergli@saturn.nl,
Schalknet ICT,Italielaan 157,2034BZ,Haarlem,,,,TRUE,,,
SDU Uitgevers bv,Prinses Beatrixlaan 116,2500EA,Den Haag,,,,TRUE,,d.balten@sdu.nl,
SEIN,Achterweg 5,2130AM,Heemstede,,,,,,Jwagenaar@sein.nl,
Sell Company,RiJnhavenkade 8,2404HB,Alphen ad RiJn,,,,,,info@isellcompany.nl,
Shakespeak,Paalbergweg 11,1070HC,Amsterdam,,,,,,robert.daverschot@sendsteps.com,
Simtel,BiJlestaal 6,1721PW,Broek op LangediJk,,,,,,,06 33 001 001
Singh Telecom,Johan Huizingalaan 174B,1065JH,Amsterdam,,,,,,singhtelecom@live.nl,
SIRE Life Sciences BV,Keizersgracht 174,1016DW,Amsterdam,,,,TRUE,,J.broekhoven@sire-search.com,
Siyou Internet solutions,Pakhuisplein 42V,1531MZ,Wormer,,,,TRUE,SoftwarebedriJf,,
Slotervaart Ziekenhuis,Louwesweg 6,1066BC,Amsterdam,,,,,,,Na vakantie proberen
Softwear BV,VeerdiJk 42E,1531MS,Wormer,,,,,,,
Somalische vereniging Amsterdam,Hamerstraat 24,1021JW,Amsterdam,,,,,,,06 524 741 58
Stichting Bach,Lange BegiJnenstraat 11,2011HH,Haarlem,,,,TRUE,Stichting,paul@cultureelhaarlem.nl,
Stichting Farid-ul-islam,Ekingenstraat 9,1069DA,Amsterdam,,,,,Stichting,,
Stichting Sint Bavo,Erasmuslaan 1,2037ZA,Haarlem,,,,,Stichting,d.neeleman@stichtingsintbavo.nl,marielle stolp m.stolp@stichtingsintbavo.nl
Stichting Sint Jacob,Louis Pasteurstraat 9,2035RJ,Haarlem,,,,,Stichting,,
Stichting Stad,ZiJlstraat 44,2011TN,Haarlem,,,,TRUE,Stichting,,
Stichting WaterwiJs/TENQ,Keizersgracht 676,1017ET,Amsterdam,,,,,Stichting,,
Suny Tele Technics,Lange Herenstraat 4,2012LH,Haarlem,,,,,,,
Swets (Royal Swets & Zeitlinger),Heereweg 347B,2161CA,Lisse,,,,,,IT-Servicedesk@nl.swets.com,
TadZít BV,Radboud 11,1121 HS,Landsmeer,,,,,,,
TageriJn,Balboastraat 20,1057VW,Amsterdam,,,,,,,
Tagnet,Gedempt Hamerkanaal 18,1021KM,Amsterdam,,,,TRUE,,info@tagnet.nl,
Tata steel afd 5G-11,Wenckebachstraat 1,1951JZ,Velsen-Noord,,,,TRUE,zie ook Corus,,
TC Computer Solutions,Schoterweg 37,2021HZ,Haarlem,,,,,,,
Telegraaf Media ICT BV,Basisweg 30,1043AP,Amsterdam,,,,,publiceerder,,
Teltools Computers,Mariastraat 6,2181CT,Hillegom,,,,,Computerwinkel,,
Tema B.V.,Debbemerstraat 25,2131HE,Hoofddorp,,,,,,,
Thuiszorg de Lindeboom,Laan van Vlaanderen 128,1066KS,Amsterdam,,,,,,info@thuiszorgdelindeboom.nl,
Thuiszorg in holland,Professor van der Scheerstraat 199,2035AM,Haarlem,,,,TRUE,,,
Tipson,Kemalpasa cad 7404 3,,TurkiJe,,,,,,,
Tracks BedriJfsautomatisering,ZwanenburgerdiJk 348 a,1161NN,Zwanenburg,,,,,AutomatiseringsbedriJf,,
Travix Nederland BV,Nobelstraat 19,2011TX,Haarlem,,,,,,Jeelman@travix-international.com,
Triodor,"Girne Mahallese, Elif Sokak, Bay PL 27",,"34852, Istanbul",,,,,,,
TW Computers,Hagelingerweg 58,2071CK,Santpoort-Noord,,,,,,,
Tweakers.Net,Mt Lincolnweg 40,1033SN,Amsterdam,,,,,,,
Twinvilla Makelaars,Italienlaan 149a,2034BZ,Haarlem,,,,TRUE,MakelaardiJ,,
UNESCO-IHE,Westvest 7,2611AX,Delft,,,,TRUE,watermanagement,,
Unit4 bv,Papendorpsweg 100,3528BJ,Utrecht,,,,TRUE,,Jeroen.dekking@unit4.com,0647 582 202
Unitedit,Ondernemingsweg 30,1422DZ,Uithoorn,,,,,,,
UNO Automatisering,van der kunststraat 30,2521BC,Den Haag,,,,,,mriJn@uno.nl,0624 966 676
Unstudio,Stadhouderskade 113,1073AX,Amsterdam,,,,TRUE,,,
v Santen Transport BV,Heringaweg 4,2031BW,Haarlem,,,,,,Jeroens@vansantengrp.nl,06 518 680 96
v-academy (Veronica),Sumatralaan 45,1217GP,Hilversum,,,,TRUE,omroep,,
Vancis BV,Sciendce Park 121,1098XG,Amsterdam,,,,TRUE,,Martien.Bakker@vancis.nl,
Veiligheids Regio Kennemerland,Spaarnepoort5,2134TM,Hoofddorp,,,,TRUE,veiligheid,ggd@vrk.nl,
VNU Media,mt. Lincolnweg 40,1033SN,Amsterdam,,,,TRUE,publiceerder,,
Voice Byte,Poortland 28,1046BD,Amsterdam,,,,,,,
Waterland Ziekenhuis,Waterlandlaan 250,1441RN,Purmerend,,,,,Ziekenhuis,,
Webcontent,Penningweg 87a,1507DG,Zaandam,,,,,,nikaJ.eiJk@webcontent.nl,
Webstekker,Tappersweg 8P,2031ET,Haarlem,,,,,webhosting,support@webstekker.nl,
Wens ICT,Marius Bauerstraat 401,1062AP,Amsterdam,,,,TRUE,stagebegeleiding,"a,bellink@wensict.nl",
Westerpark school,Van Hogendorpplein 11,1051AX,Amsterdam,,,,,school,,
Wilroff Systems Solution,Haarlemmermeerstraat 111,1165MK,Halfweg,,,,TRUE,AutomatiseringsbedriJf,info@wilrof.nl,
Winbase Software & Adviezen BV,Nieuwe  gracht 35,2011NC,Haarlem,,,,TRUE,AutomatiseringsbedriJf,,
Wise Advise,kleine tocht 7c,1507KB,Zaandam,,,,,AutomatiseringsbedriJf,erik@wiseadvise.nl,
woning-decoratie.nl,Julianastraat 3,2361JV,Warmond,,,,,,monique@woning-decoratie.nl,
Yamaha Motor Europe NV,Koolhovenlaan 101,1119NC,Schiphol-riJk,,,,,Fabrikant,,
Yusen Logistics,ReiJckJavicweg 1,,Schiphol,,,,,,,
Ziekenhuis Amstelland,Laan van de Helende Meesters 8,1186 AM,Amstelveen,,,,,Ziekenhuis,,
Zorgcontact Huis Bodaan,Slangenkruidlaan 24,2015LL,Haarlem,,,,,,,
