name,adress,zip,city,abn,ecabo,activity,email,comment
Gibreto,Noppestraat 42,2136AJ,Zwaanshoek,,N,,gideon@gibreto.nl,
GNR8 / Stagebedrijf InHolland,Zijlstraat 44,2011TN,Haarlem,,N,Stagebedrijf InHolland,info@gnr8.nl,
GroupActie Nederland B.V.,Rijksstraatweg 238,2022DJ,Haarlem,,N,,marco.wessels@groupactie.nl,06 53 20 13 79
Hartman Computers (HCTbv),Cruquiuszoom 33,2142EW,Cruquius,,J,Refurbishen/Verkoop Computers,,
HBR Adviescentrum,Korte Kleverlaan 34,,Bloemendaal,,J,,,
Herke ICT group b.v.,Toermalijnstraat 8,1812RL,Alkmaar,,N,,p.beers@herke.nl,
Holland Casino,Hoofdweg 640,2132MK,Hoofddorp,,N,Casino,,
Hostway,Schipholweg 275,1171PK,Badhoevedorp,,J,Webhosting,,
ICCS bv,Kruisweg 823,2132NG,Hoofddorp,,J,,joep@iccs.nl,
Impli-Cit,Verspronckweg 243,2023BH,Haarlem,,N,,,
Improve,Van den vondellaan 78,1985BD,Driehuis NH,,N,,,
IMW,A. Verweylaan 138,2182PZ,Hillegom,,J,,,
Infotechnology BV,Pastoorslaan 28,2182BX,Hillegom,,J,,"jbultink@infotechnology.nl
egroothuis@infotechnology.nl",
Instant publishing/G_advocaten,Nieuwe gracht 37,2011NC,Haarlem,,J,Advocatenbureau,,
InterMac Automatisering,Watering weg 67,2031EK,Haarlem,,J,Automatiseringsbedrijf,,
IpCam-shop,Jacobus Spijkerdreef 252,2132PZ,Hoofddorp,,J,,,
Irdeto Access BV,Jupiterstraat 42,2132HD,Hoofddorp,,N,,,
IS Interned Services,Wielingenstraat 8,1441ZR,Purmerend,,N,,,
IT-chemi,Molenwerf 21C,1911DB,Uitgeest,,J,,,
Italicdotcom,,,Amstelveen,,N,,,
Joheco,Camplaan 6,2103GW,Hillegom,,N,Computerwinkel,,
Jongbloed,Noordeinde 39,2514GC,Den Haag,,N,juridische boekhandel,,
Jozef school,Hoofdstraat 133,2182EN,Hillegom,,J,school,,
Jp Huiskamp,,,,,N,,jp.huiskamp@qubics.nl,
JPR Design,Van Lennepweg 153,2041LM,Zandvoort,,N,,info@jprdesign.nl,
Kapsalon Karlsma,Willemsbeekweg 62,1971GX,IJmuiden,,N,,,
Kasbank Amsterdam,NZ Voorburgwal 225,1012RL,Amsterdam,,N,,,
Kennemer College,Bullerlan 2,1945SR,Beverwijk,,J,school,r.kleijne@kennemercollege.nl,
Kennemer Gasthuis,Boerhavelaan 22,2035RC,Haarlem,,J,ziekenhuis,,
Kessler & Zn,Vermogenweg 209,3641ST,Mijdrecht,,N,,info@kessler.nl,
Keul Solutions,Pieter Goedkoopweg 24,2031EL,Haarlem,,N,,,
KLM/Fijutsu,Cateringweg 1,1118AM,Schiphol,,N,,nico.vaessen@klm.com,
Komutan,Kultur Caddesi 5 A,,"Izmir, Turkije",,N,,,
Korton Group,Jadelaan 99-101,2132XZ,Hoofddorp,,N,,,
Kuehne & Nagel,Lireweg 7,2153PH,Nieuw-Vennep,,J,Productie servers,,
L&N Media,Diakenhuisweg 29,2033AD,Haarlem,,N,,laurens@sensoj.com,
Ladyglossy,Crommelinbaan 50,2142EX,Cruquius,,J,,rick@ladyglossy.nl,
Leaseweb B.V (zie ook Ocom),J van Lucasweg 35,2112XE,Haarlem,,J,Webhosting,,HR manager = Barbara Jonkhout - geen lintstages
Lev Medische groothandel,Kennemerlaan 11-13,1972EG,IJmuiden,,N,,,
Liberty Global,Boeingavenue 53,1119PE,Schiphol-Rijk,,N,,,
Lionhead,Tingietersweg 6,2031ES,Haarlem,,N,,,
Lockerbox BV,Lucas Bolsstraat 40,2152CZ,Nieuw-Vennep,,N,,,
Logopediepraktijk Haarlem-Zuid,Zuider Emmakade 45f,2012KN,Haarlem,,N,,logopedie@haarlem-zuid.nl,
Loogman Tanken&Wassen BV,Aalsmeerderweg 497,1432ED,Aalsmeer,,N,Tankstation,kijzebaart@loogman.nl,
Lyceum Sancta Maria,van Limburg Stirumstraat 4,2012MN,Haarlem,,N,School,,
Mackaay Computer Support BV,Boslaan 29,2132RJ,Hoofddorp,,J,Automatiseringsbedrijf,,
MAFF Managing partner Pand Noord,Meeuwenlaan 98-100,1021JL,Amsterdam-Noord,,J,,,
Marmar Koleji (College),Marmara Egitim Koya,34857,Istanbul Maltepe,,N,,,0900 532 366 1010
MEOS,Kuppersweg 75,2031EB,Haarlem,,N,Systeembeheer,,
Meyson Communicatie,Duivendrechtsekade 32,1096AJ,Amsterdam,,N,,,
Microfix,Willem Barendsstraat 23,2315TZ,Leiden,,N,,evk@microfix.nl,
National Aerospace Laboratory,,,Amsterdam,,N,,,
NightOwl Interactive,"260 West, 35th Street, Suite 703",1001,New York,,J,USA,,
Nikhef,Science Park 105,1098XG,Amsterdam,,N,Subatomaire Fysica,tsuerink@nikhef.nl,
Noads,Lagendijk 11,2064KV,Spaarndam,,N,,,
Northgo College,Duinwetering 107,2203HM,Noordwijk,,N,School,,
Ocom BV (zie ook Leaseweb),Mollerusweg 84,2031BZ,Haarlem,,J,webhosting,,
OnePacket,Buitenom 259-261,2711KB,Zoetermeer,,N,,info@onepacket.com,
Onsite,Tappersweg 14-32,2031CV,Haarlem,,N,,,
Oyaloo,Jansstraat 46,2011RZ,Haarlem,,N,marketing via mobiele tel,,06 242 01 015
Paerel,Herengracht 201,1016BE,Amsterdam,,J,,,
Pagerank Eleven,Lorentzplein 25,2012HH,Haarlem,,N,,,
Palletwijs,Bijsterhuizen 1111,6546AR,Nijmegen,,N,,ruud.suk@palletways.nl,
Parwan GSM,Ambachtsweg 84,3542DH,Utrecht,,N,,parwangsm@gmail.com,
Paulus MAVO,Junoplantsoen 58,1991LG,Haarlem,,N,,M.Hoogstoevenbeld@Paulusmavo.nl,0634 0056 770
PC Correct,Comeniusstraat 711,,Amsterdam,,N,,,
Pcuserwinkel,Rijksstraatweg 519,2025DE,Haarlem,,N,winkel,,
PEAK-IT,,,Amsterdam,,N,Softwarebedrijf,,
Perry Motors C.V.,Gedempte oude gracht 112,2011GW,Haarlem,,N,,,
Pharmeon B.V.,Hettenheuvelweg 14,1101BN,Amsterdam-ZO,,J,Automatiseringsbedrijf,,
Philipoom,Van Meelstraat 20,1945WC,Beverwijk,,N,,,
Pine Bay Holiday Resort,Camlimani Mevkii 09400,,"Kusadasi, Aydin",,N,,,
Professor van Gilseschool,Daslookweg 2,2015 KN,Haarlem,,N,School,info@vangilseschool.nl,
Project Management Bureau,Weesperstraat 432,1018 DN,Amsterdam,,N,,pmb@amsterdam.nl,
Propha ICT Solutions,Wateringweg 151,2031 EG,Haarlem,,J,,,
PuurPro Webdesign,Lorenzkade 124,2014 CC,Haarlem,,N,,,
Quickhelp,Surinameweg 2,2035VA,Haarlem,,N,,info@quickhelp.nl,06 4300 1317
Quite-Easy,Ruishoornlaan 19,2161VW,Lisse,,J,Appl ontw,,
Raad,Baden Powellweg 305K,1069LH,Amsterdam,,N,,,020 691 2217
Raaks Supermarkten,Drossestraat 11,2011XW,Haarlem,,N,,,
Randstad,Diemermere 25,1112TC,Diemen,,J,Netwerken,,
RDRD,Lange Herenstraat 38 zwart,2011LJ,Haarlem,,N,,info@rdrd.nl,06 55 120 446
"REA College, locatie Heliomare",Verlengde voorstraat 8,1949CM,Wijk aan Zee,,J,school,http://rcnheliomare.nl/,
REAAL Verzekeringen NV,Wognumsebuurt 10,1817BH,Alkmaar,,N,Verzekeringen,richard.schouten@reaal.nl,
RIBW,Stationsplein 110 en 118,2002CG,Haarlem,,N,,helpdesk@ribw-kam.nl,06 31 025 520
Roads Print en Pixels,Ridderstraat 12 2W,2011 RS,Haarlem,,N,,,
Salto,Tempelhofstraat 2-8,1043EC,Amsterdam,,N,,,
Saturn,Oosterdokskade 61,,Amsterdam,,J,,bergli@saturn.nl,
Schalknet ICT,Italielaan 157,2034BZ,Haarlem,,J,,,
SDU Uitgevers bv,Prinses Beatrixlaan 116,2500EA,Den Haag,,J,,d.balten@sdu.nl,
SEIN,Achterweg 5,2130AM,Heemstede,,N,,jwagenaar@sein.nl,
Sell Company,Rijnhavenkade 8,2404HB,Alphen ad Rijn,,N,,info@isellcompany.nl,
Shakespeak,Paalbergweg 11,1070HC,Amsterdam,,N,,robert.daverschot@sendsteps.com,
Simtel,Bijlestaal 6,1721PW,Broek op Langedijk,,N,,,06 33 001 001
Singh Telecom,Johan Huizingalaan 174B,1065JH,Amsterdam,,N,,singhtelecom@live.nl,
SIRE Life Sciences BV,Keizersgracht 174,1016DW,Amsterdam,,J,,j.broekhoven@sire-search.com,
Siyou Internet solutions,Pakhuisplein 42V,1531MZ,Wormer,,J,Softwarebedrijf,,
Slotervaart Ziekenhuis,Louwesweg 6,1066BC,Amsterdam,,N,,,Na vakantie proberen
Softwear BV,Veerdijk 42E,1531MS,Wormer,,N,,,
Somalische vereniging Amsterdam,Hamerstraat 24,1021JW,Amsterdam,,N,,,06 524 741 58
Stichting Bach,Lange Begijnenstraat 11,2011HH,Haarlem,,J,Stichting,paul@cultureelhaarlem.nl,
Stichting Farid-ul-islam,Ekingenstraat 9,1069DA,Amsterdam,,N,Stichting,,
Stichting Sint Bavo,Erasmuslaan 1,2037ZA,Haarlem,,N,Stichting,d.neeleman@stichtingsintbavo.nl,marielle stolp m.stolp@stichtingsintbavo.nl
Stichting Sint Jacob,Louis Pasteurstraat 9,2035RJ,Haarlem,,N,Stichting,,
Stichting Stad,Zijlstraat 44,2011TN,Haarlem,,J,Stichting,,
Stichting Waterwijs/TENQ,Keizersgracht 676,1017ET,Amsterdam,,N,Stichting,,
Suny Tele Technics,Lange Herenstraat 4,2012LH,Haarlem,,N,,,
Swets (Royal Swets & Zeitlinger),Heereweg 347B,2161CA,Lisse,,N,,IT-Servicedesk@nl.swets.com,
TadZít BV,Radboud 11,1121 HS,Landsmeer,,N,,,
Tagerijn,Balboastraat 20,1057VW,Amsterdam,,N,,,
Tagnet,Gedempt Hamerkanaal 18,1021KM,Amsterdam,,J,,info@tagnet.nl,
Tata steel afd 5G-11,Wenckebachstraat 1,1951JZ,Velsen-Noord,,J,zie ook Corus,,
TC Computer Solutions,Schoterweg 37,2021HZ,Haarlem,,N,,,
Telegraaf Media ICT BV,Basisweg 30,1043AP,Amsterdam,,N,publiceerder,,
Teltools Computers,Mariastraat 6,2181CT,Hillegom,,N,Computerwinkel,,
Tema B.V.,Debbemerstraat 25,2131HE,Hoofddorp,,N,,,
Thuiszorg de Lindeboom,Laan van Vlaanderen 128,1066KS,Amsterdam,,N,,info@thuiszorgdelindeboom.nl,
Thuiszorg in holland,Professor van der Scheerstraat 199,2035AM,Haarlem,,J,,,
Tipson,Kemalpasa cad 7404 3,,Turkije,,N,,,
Tracks Bedrijfsautomatisering,Zwanenburgerdijk 348 a,1161NN,Zwanenburg,,N,Automatiseringsbedrijf,,
Travix Nederland BV,Nobelstraat 19,2011TX,Haarlem,,N,,jeelman@travix-international.com,
Triodor,"Girne Mahallese, Elif Sokak, Bay PL 27",,"34852, Istanbul",,N,,,
TW Computers,Hagelingerweg 58,2071CK,Santpoort-Noord,,N,,,
Tweakers.Net,Mt Lincolnweg 40,1033SN,Amsterdam,,N,,,
Twinvilla Makelaars,Italienlaan 149a,2034BZ,Haarlem,,J,Makelaardij,,
UNESCO-IHE,Westvest 7,2611AX,Delft,,J,watermanagement,,
Unit4 bv,Papendorpsweg 100,3528BJ,Utrecht,,J,,jeroen.dekking@unit4.com,0647 582 202
Unitedit,Ondernemingsweg 30,1422DZ,Uithoorn,,N,,,
UNO Automatisering,van der kunststraat 30,2521BC,Den Haag,,N,,mrijn@uno.nl,0624 966 676
Unstudio,Stadhouderskade 113,1073AX,Amsterdam,,J,,,
v Santen Transport BV,Heringaweg 4,2031BW,Haarlem,,N,,jeroens@vansantengrp.nl,06 518 680 96
v-academy (Veronica),Sumatralaan 45,1217GP,Hilversum,,J,omroep,,
Vancis BV,Sciendce Park 121,1098XG,Amsterdam,,J,,Martien.Bakker@vancis.nl,
Veiligheids Regio Kennemerland,Spaarnepoort5,2134TM,Hoofddorp,,J,veiligheid,ggd@vrk.nl,
VNU Media,mt. Lincolnweg 40,1033SN,Amsterdam,,J,publiceerder,,
Voice Byte,Poortland 28,1046BD,Amsterdam,,N,,,
Waterland Ziekenhuis,Waterlandlaan 250,1441RN,Purmerend,,N,Ziekenhuis,,
Webcontent,Penningweg 87a,1507DG,Zaandam,,N,,nikaj.eijk@webcontent.nl,
Webstekker,Tappersweg 8P,2031ET,Haarlem,,N,webhosting,support@webstekker.nl,
Wens ICT,Marius Bauerstraat 401,1062AP,Amsterdam,,J,stagebegeleiding,"a,bellink@wensict.nl",
Westerpark school,Van Hogendorpplein 11,1051AX,Amsterdam,,N,school,,
Wilroff Systems Solution,Haarlemmermeerstraat 111,1165MK,Halfweg,,J,Automatiseringsbedrijf,info@wilrof.nl,
Winbase Software & Adviezen BV,Nieuwe  gracht 35,2011NC,Haarlem,,J,Automatiseringsbedrijf,,
Wise Advise,kleine tocht 7c,1507KB,Zaandam,,N,Automatiseringsbedrijf,erik@wiseadvise.nl,
woning-decoratie.nl,Julianastraat 3,2361JV,Warmond,,N,,monique@woning-decoratie.nl,
Yamaha Motor Europe NV,Koolhovenlaan 101,1119NC,Schiphol-rijk,,N,Fabrikant,,
Yusen Logistics,Reijckjavicweg 1,,Schiphol,,N,,,
Ziekenhuis Amstelland,Laan van de Helende Meesters 8,1186 AM,Amstelveen,,,Ziekenhuis,,
Zorgcontact Huis Bodaan,Slangenkruidlaan 24,2015LL,Haarlem,,N,,,
